Membership No  Date Joined  Active  
    56211      2019-11-14   no    
    19444      2016-4-24    no    
    43167      2016-11-4    no    
    84534      2018-11-16   no    
    84936      2017-3-25    no    
    90910      2017-4-10    no    
    33720      2019-8-2     no    
    67670      2015-5-13    no    
    17235      2016-10-1    no    
    82803      2018-3-10    no    
    50150      2019-12-25   no    
    85041      2016-5-18    no    
    10169      2017-7-17    no    
    79219      2018-10-25   no    
