Membership No  Date Joined  Active  
    41864      2016-1-22    yes   
    16032      2018-2-1     no    
    41200      2018-12-17   no    
    99035      2016-8-22    no    
    21740      2019-2-10    yes   
    84194      2016-10-7    yes   
    70515      2016-7-6     no    
    26575      2020-4-17    no    
    53030      2020-10-20   yes   
    62612      2019-10-21   no    
    23887      2019-1-10    no    
    91867      2015-12-1    yes   
    24012      2017-6-2     no    
    40292      2020-12-12   no    
    30640      2020-8-20    no    
    51901      2016-10-19   yes   
    49252      2016-5-1     yes   
    83166      2016-9-20    yes   
    33681      2017-4-9     no    
    23880      2017-6-6     no    
